Code produit Fournisseur;EAN;Désignation du produit (NOM COMMERCIAL); Libellé Bon de livraison; Descriptif du produit; Durée garantie; Catégorie Arborescence Internet;Slogan;Qualité livrée;Couleur;Marque;Nombre de pièces par paquet;Hauteur adulte;Les plus du produit (1);Les plus du produit (2);Les plus du produit (3);EcoTaxe;Image_principale;Image secondaire 1;Image secondaire 2;Image secondaire 3;Image secondaire 4;Image secondaire 5;Vidéo Lien youtube;Fiche PDF;Période de plantation;Période de floraison;Période de semis;Période de récolte;Période de livraison;Type de sol;Exposition;Type utilisation;Type de Livraison
BAR05;;Bambou Barrière de contrôle 5 ML;Barrière de contrôle souterraine 5 ML;Barrière de contrôle souterraine de 50cm de long et de 70cm de haut, permet de limiter la prolifération des rhizomes.;1 an;1460;Tiges aux couleurs changeantes !;50cm de long et 70cm de haut;Noir;;1;0,70m;;;;;MAQ-MAQ-Barrière_de_contrôle_souterraine_5_ML.jpg;;;;;;;;;;;;;1;;;01-Depart Willemse
BAR10;;Bambou Barrière de contrôle 10 ML;Barrière de contrôle souterraine 10 ML;Barrière de contrôle souterraine de 100cm de long et de 70cm de haut, permet de limiter la prolifération des rhizomes.;1 an;1460;Indispensable !;100cm de long et 70cm de haut;Noir;;1;0,70m;;;;;MAQ-MAQ-Barrière_de_contrôle_souterraine_10_ML.jpg;;;;;;;;;;;;;1;;;01-Depart Willemse
BAR20;;Bambou Barrière de contrôle 20ML;Barrière de contrôle souterraine 20 ML;Barrière de contrôle souterraine de 200cm de long et de 70cm de haut, permet de limiter la prolifération des rhizomes.;1 an;1460;Indispensable !;200cm de long et 70cm de haut;Aucune;;1;0,70m;;;;;MAQ-MAQ-Barrière_de_contrôle_souterraine_20_ML.jpg;;;;;;;;;;;;;1;;;01-Depart Willemse
