Code produit Fournisseur;Désignation du produit (NOM COMMERCIAL);Prix d'achat HT;Frais de Livraison;Prix de vente conseillé TTC;Ecotaxe;TVA;Delai de livraison;Produit disponible
4252;Chêne vert;69.00;;;;Taux réduit (10%);1 Semaine;Oui
2492;Jasmin étoilé;55.20;;;;Taux réduit (10%);1 Semaine;Oui
1516;Saule integra  Hakuro Nishiki;44.50;;;;Taux réduit (10%);1 Semaine;Oui
765;Saule integra  Hakuro Nishiki;55.00;;;;Taux réduit (10%);1 Semaine;Oui
2611;Laurier Tin;59.30;;;;Taux réduit (10%);1 Semaine;Oui
6822;Laurier Tin;126.00;;;;Taux réduit (10%);1 Semaine;Oui
1763;Arbre au poivre;39.80;;;;Taux réduit (10%);1 Semaine;Oui
1880;Yucca  Colour Guard ;34.50;;;;Taux réduit (10%);1 Semaine;Oui
1881;Yucca rostrata;47.00;;;;Taux réduit (10%);1 Semaine;Oui
1855;Yucca rostrata;88.00;;;;Taux réduit (10%);1 Semaine;Oui
1133;Yucca rostrata;1;;;;Taux réduit (10%);1 Semaine;Epuisé/Supprimé
1134;Yucca rostrata;1;;;;Taux réduit (10%);1 Semaine;Epuisé/Supprimé
514;Yucca rostrata;1;;;;Taux réduit (10%);1 Semaine;Epuisé/Supprimé
8744;Yucca rostrata;1;;;;Taux réduit (10%);1 Semaine;Epuisé/Supprimé
5582;Rosier  Calizia  noa 97400a;53.00;;;;Taux réduit (10%);1 Semaine;Oui
8860;Rosier  Kadora  noa 83100b;53.00;;;;Taux réduit (10%);1 Semaine;Oui
7584;Rosier  Emera  noatraum;53.00;;;;Taux réduit (10%);1 Semaine;Oui
3489;Rosier  Isalia  noat1804;53.00;;;;Taux réduit (10%);1 Semaine;Oui
6275;Rosier  Mareva  noamel;53.00;;;;Taux réduit (10%);1 Semaine;Oui
6493;Rosier  Suneva  noalesae;53.00;;;;Taux réduit (10%);1 Semaine;Oui
5915;Rosier  Opalia  noaschnee;53.00;;;;Taux réduit (10%);1 Semaine;Oui
546;Rosier  Calizia  noa 97400a;61.00;;;;Taux réduit (10%);1 Semaine;Oui
136;Rosier  Kadora  noa 83100b;61.00;;;;Taux réduit (10%);1 Semaine;Oui
6773;Rosier  Emera  noatraum;61.00;;;;Taux réduit (10%);1 Semaine;Oui
5752;Rosier  Isalia  noat1804;61.00;;;;Taux réduit (10%);1 Semaine;Oui
6776;Rosier  Mareva  noamel;61.00;;;;Taux réduit (10%);1 Semaine;Oui
6465;Rosier  Suneva  noalesae;61.00;;;;Taux réduit (10%);1 Semaine;Oui
7592;Rosier  Vésuvia  noare;61.00;;;;Taux réduit (10%);1 Semaine;Oui
6779;Rosier  Opalia  noaschnee;61.00;;;;Taux réduit (10%);1 Semaine;Oui
2428;Bamb Hibanobambousa tranquillans Shiro;52.10;;;;Taux réduit (10%);1 Semaine;Oui
284;Bambou Phyllostachys aurea;1;;;;Taux réduit (10%);1 Semaine;Epuisé/Supprimé
5261;Bambou Phyllostachys aurea;48.00;;;;Taux réduit (10%);1 Semaine;Oui
5246;Bambou Phyllostachys aurea;69.80;;;;Taux réduit (10%);1 Semaine;Oui
2416;Bambou Fargesia 'Rufa';73.30;;;;Taux réduit (10%);1 Semaine;Oui
2419;Bambou Fargesia 'Rufa';1;;;;Taux réduit (10%);1 Semaine;Epuisé/Supprimé
5301;Bamb Phyllostachys aureosulcata Specta;1;;;;Taux réduit (10%);1 Semaine;Epuisé/Supprimé
559;Bamb Phyllostachys aureosulcata Specta;48.00;;;;Taux réduit (10%);1 Semaine;Oui
560;Bamb Phyllostachys aureosulcata Specta;69.80;;;;Taux réduit (10%);1 Semaine;Oui
1163;Bambou Phyllostachys bissetti;1;;;;Taux réduit (10%);1 Semaine;Epuisé/Supprimé
5240;Bambou Phyllostachys bissetti;48.00;;;;Taux réduit (10%);1 Semaine;Oui
1724;Bambou Phyllostachys bissetti;69.80;;;;Taux réduit (10%);1 Semaine;Oui
196;Bambou Phyllostachys nigra;73.30;;;;Taux réduit (10%);1 Semaine;Oui
5305;Bambou Pseudosasa japonica;1;;;;Taux réduit (10%);1 Semaine;Epuisé/Supprimé
5877;Bambou Pseudosasa japonica;54.50;;;;Taux réduit (10%);1 Semaine;Oui
7030;Bambou Pseudosasa japonica;69.90;;;;Taux réduit (10%);1 Semaine;Oui
5902;Buis sempervirens;1;;;;Taux réduit (10%);1 Semaine;Epuisé/Supprimé
3607;Buis sempervirens;25.00;;;;Taux réduit (10%);1 Semaine;Oui
7027;Buis sempervirens;1;;;;Taux réduit (10%);1 Semaine;Epuisé/Supprimé
8787;Lilas des indes;42.60;;;;Taux réduit (10%);1 Semaine;Oui
681;Lilas des indes;68.00;;;;Taux réduit (10%);1 Semaine;Oui
466;Lilas des indes;1;;;;Taux réduit (10%);1 Semaine;Epuisé/Supprimé
2477;Erable freemanii Autumn Blaze Jeffersred;1;;;;Taux réduit (10%);1 Semaine;Epuisé/Supprimé
8698;Palmier capitata;44.00;;;;Taux réduit (10%);1 Semaine;Oui
2521;Dasylirion glaucophyllum;72.00;;;;Taux réduit (10%);1 Semaine;Oui
3830;Cordyline;133.00;;;;Taux réduit (10%);1 Semaine;Oui
2527;Troëne jonandrum;148.00;;;;Taux réduit (10%);1 Semaine;Oui
1766;Bambou sacré;99.00;;;;Taux réduit (10%);1 Semaine;Oui
8550;Pennisetum villosum;23.60;;;;Taux réduit (10%);1 Semaine;Oui
1605;Phormium tenax;95.00;;;;Taux réduit (10%);1 Semaine;Oui
6148;Photinia  Little Red Robin ;61.00;;;;Taux réduit (10%);1 Semaine;Oui
 xxxx;Romarin officinal  ;25.00;;;;Taux réduit (10%);1 Semaine;Oui
3433;Photinia  Red Robin ;42.50;;;;Taux réduit (10%);1 Semaine;Oui
7509;Pittosporum tobira;99.80;;;;Taux réduit (10%);1 Semaine;Oui
7504;Pittosporum tobira  Nana ;39.80;;;;Taux réduit (10%);1 Semaine;Oui
2939;Chêne vert;107.80;;;;Taux réduit (10%);1 Semaine;Oui
4704;Chêne vert;34.50;;;;Taux réduit (10%);1 Semaine;Oui
5914;Rosier  Kadora  noa 83100b;25.80;;;;Taux réduit (10%);1 Semaine;Oui
7136;Rosier  Vésuvia  noare;53.00;;;;Taux réduit (10%);1 Semaine;Oui
3789;Saule integra  Hakuro Nishiki;25.40;;;;Taux réduit (10%);1 Semaine;Oui
8177;Palmier de Chine;63.90;;;;Taux réduit (10%);1 Semaine;Oui
1781;Viorne plicatum  Watanabe  ;26.60;;;;Taux réduit (10%);1 Semaine;Oui
5653;Laurier Tin;91.30;;;;Taux réduit (10%);1 Semaine;Oui
7056;Weigelia florida  Nana Variegata ;25.00;;;;Taux réduit (10%);1 Semaine;Oui
973;Yucca rostrata;1;;;;Taux réduit (10%);1 Semaine;Epuisé/Supprimé
